created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2019-01-25 15:47:45 IST,96,21.00,58.00,,,,
2019-01-25 15:48:00 IST,97,21.00,58.00,,,,
2019-01-25 15:48:15 IST,98,21.00,58.00,,,,
2019-01-25 15:48:38 IST,99,21.00,57.00,,,,
2019-01-25 15:49:00 IST,100,22.00,95.00,,,,
2019-01-25 15:49:16 IST,101,22.00,73.00,,,,
2019-01-25 15:49:38 IST,102,22.00,63.00,,,,
2019-01-25 15:50:00 IST,103,21.00,59.00,,,,
2019-01-25 15:50:23 IST,104,21.00,58.00,,,,
2019-01-25 15:50:45 IST,105,21.00,60.00,,,,
2019-01-25 15:51:02 IST,106,21.00,60.00,,,,
2019-01-25 15:51:18 IST,107,21.00,58.00,,,,
2019-01-25 15:51:41 IST,108,21.00,60.00,,,,
2019-01-25 15:51:57 IST,109,21.00,59.00,,,,
2019-01-25 15:52:13 IST,110,21.00,60.00,,,,
2019-01-25 15:52:35 IST,111,21.00,62.00,,,,
2019-01-25 15:52:56 IST,112,21.00,62.00,,,,
2019-01-25 15:53:11 IST,113,21.00,61.00,,,,
2019-01-25 15:53:33 IST,114,21.00,61.00,,,,
2019-01-25 15:53:55 IST,115,21.00,62.00,,,,
2019-01-25 15:54:16 IST,116,21.00,60.00,,,,
2019-01-25 15:54:39 IST,117,21.00,61.00,,,,
2019-01-25 15:54:55 IST,118,21.00,61.00,,,,
2019-01-25 15:55:10 IST,119,21.00,60.00,,,,
2019-01-25 15:55:28 IST,120,21.00,60.00,,,,
2019-01-25 15:55:44 IST,121,21.00,60.00,,,,
2019-01-25 15:56:06 IST,122,21.00,60.00,,,,
2019-01-25 15:56:21 IST,123,21.00,61.00,,,,
2019-01-25 15:56:37 IST,124,21.00,60.00,,,,
2019-01-25 15:56:52 IST,125,21.00,61.00,,,,
2019-01-25 15:57:08 IST,126,21.00,59.00,,,,
2019-01-25 15:57:23 IST,127,21.00,58.00,,,,
2019-01-25 15:57:39 IST,128,21.00,58.00,,,,
2019-01-25 15:57:55 IST,129,21.00,58.00,,,,
2019-01-25 15:58:18 IST,130,21.00,58.00,,,,
2019-01-25 15:58:40 IST,131,21.00,59.00,,,,
2019-01-25 15:58:56 IST,132,21.00,58.00,,,,
2019-01-25 15:59:11 IST,133,21.00,58.00,,,,
2019-01-25 15:59:27 IST,134,21.00,58.00,,,,
2019-01-25 15:59:42 IST,135,21.00,58.00,,,,
2019-01-25 15:59:57 IST,136,21.00,59.00,,,,
2019-01-25 16:00:13 IST,137,21.00,58.00,,,,
2019-01-25 16:00:29 IST,138,21.00,58.00,,,,
2019-01-25 16:00:44 IST,139,21.00,59.00,,,,
2019-01-25 16:00:59 IST,140,21.00,58.00,,,,
2019-01-25 16:01:15 IST,141,21.00,58.00,,,,
2019-01-25 16:01:38 IST,142,21.00,58.00,,,,
2019-01-25 16:02:01 IST,143,21.00,58.00,,,,
2019-01-25 16:02:24 IST,144,21.00,59.00,,,,
2019-01-25 16:02:39 IST,145,21.00,59.00,,,,
2019-01-25 16:03:02 IST,146,21.00,59.00,,,,
2019-01-25 16:03:17 IST,147,21.00,58.00,,,,
2019-01-25 16:03:32 IST,148,21.00,59.00,,,,
2019-01-25 16:03:47 IST,149,21.00,59.00,,,,
2019-01-25 16:04:10 IST,150,21.00,60.00,,,,
2019-01-25 16:04:25 IST,151,21.00,59.00,,,,
2019-01-25 16:04:46 IST,152,21.00,59.00,,,,
2019-01-25 16:05:08 IST,153,21.00,59.00,,,,
2019-01-25 16:05:23 IST,154,21.00,59.00,,,,
2019-01-25 16:05:39 IST,155,21.00,59.00,,,,
2019-01-25 16:05:54 IST,156,21.00,59.00,,,,
2019-01-25 16:06:45 IST,157,,59.00,,,,
2019-01-25 16:07:00 IST,158,,58.00,,,,
2019-01-25 16:07:22 IST,159,,58.00,,,,
2019-01-25 16:07:43 IST,160,,59.00,,,,
2019-01-25 16:08:06 IST,161,,58.00,,,,
2019-01-25 16:08:21 IST,162,,58.00,,,,
2019-01-25 16:08:43 IST,163,,59.00,,,,
2019-01-25 16:09:05 IST,164,,59.00,,,,
2019-01-25 16:09:21 IST,165,,59.00,,,,
2019-01-25 16:09:37 IST,166,,59.00,,,,
2019-01-25 16:09:52 IST,167,,59.00,,,,
2019-01-25 16:10:08 IST,168,,58.00,,,,
2019-01-25 16:10:24 IST,169,,58.00,,,,
2019-01-25 16:10:40 IST,170,,58.00,,,,
2019-01-25 16:10:55 IST,171,,58.00,,,,
2019-01-25 16:11:17 IST,172,,58.00,,,,
